color,depressed,dreamy,romantic,healing,joy
green,2,3,3,5,4
green,2,3,3,5,4
green,2,3,3,5,4
green,2,3,3,5,4
green,2,3,3,5,4
green,2,3,3,5,3
green,2,3,3,5,3
green,2,3,3,5,3
green,2,3,3,5,3
green,2,3,3,5,3
green,2,3,3,5,3
green,2,2,3,5,3
green,2,2,3,5,3
green,2,2,3,5,3
green,2,2,3,5,3
green,2,2,3,5,3
green,2,2,3,5,3
green,2,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,3,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,2,2,5,3
green,1,1,2,5,3
green,1,1,2,5,3
green,1,1,2,5,3
green,1,1,2,5,3
green,1,1,2,5,3
green,1,1,1,5,3
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,2
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,5,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
green,1,1,1,4,1
